U+040C	Ќ	CKj	CYRILLIC CAPITAL LETTER KJE
U+045C	ќ	Ckj	CYRILLIC SMALL LETTER KJE
U+041B	Л	cL	CYRILLIC CAPITAL LETTER EL
U+043B	л	cl	CYRILLIC SMALL LETTER EL
U+0409	Љ	CLj	CYRILLIC CAPITAL LETTER LJE
U+0459	љ	Clj	CYRILLIC SMALL LETTER LJE
U+041C	М	cM	CYRILLIC CAPITAL LETTER EM
U+043C	м	cm	CYRILLIC SMALL LETTER EM
U+041D	Н	cN	CYRILLIC CAPITAL LETTER EN
U+043D	н	cn	CYRILLIC SMALL LETTER EN
U+040A	Њ	CNj	CYRILLIC CAPITAL LETTER NJE
U+045A	њ	Cnj	CYRILLIC SMALL LETTER NJE
U+041E	О	cO	CYRILLIC CAPITAL LETTER O
U+043E	о	co	CYRILLIC SMALL LETTER O
U+041F	П	cP	CYRILLIC CAPITAL LETTER PE
U+043F	п	cp	CYRILLIC SMALL LETTER PE
U+0420	Р	cR	CYRILLIC CAPITAL LETTER ER
U+0440	р	cr	CYRILLIC SMALL LETTER ER
U+0421	С	cS	CYRILLIC CAPITAL LETTER ES
U+0441	с	cs	CYRILLIC SMALL LETTER ES
U+0422	Т	cT	CYRILLIC CAPITAL LETTER TE
U+0442	т	ct	CYRILLIC SMALL LETTER TE
U+040B	Ћ	CTj	CYRILLIC CAPITAL LETTER TSHE
U+045B	ћ	Ctj	CYRILLIC SMALL LETTER TSHE
U+0423	У	cU	CYRILLIC CAPITAL LETTER U
U+0443	у	cu	CYRILLIC SMALL LETTER U
U+040E	Ў	c(U	CYRILLIC CAPITAL LETTER SHORT U
U+045E	ў	c(u	CYRILLIC SMALL LETTER SHORT U
U+0424	Ф	cF	CYRILLIC CAPITAL LETTER EF
U+0444	ф	cf	CYRILLIC SMALL LETTER EF
U+0425	Х	cX	CYRILLIC CAPITAL LETTER HA
U+0445	х	cx	CYRILLIC SMALL LETTER HA
U+0426	Ц	cC	CYRILLIC CAPITAL LETTER TSE
U+0446	ц	cc	CYRILLIC SMALL LETTER TSE
U+0427	Ч	CCh	CYRILLIC CAPITAL LETTER CHE
U+0447	ч	Cch	CYRILLIC SMALL LETTER CHE
U+040F	Џ	CDzh	CYRILLIC CAPITAL LETTER DZHE
U+045F	џ	Cdzh	CYRILLIC SMALL LETTER DZHE
U+0428	Ш	CSh	CYRILLIC CAPITAL LETTER SHA
U+0448	ш	Csh	CYRILLIC SMALL LETTER SHA
U+0429	Щ	CSc	CYRILLIC CAPITAL LETTER SHCHA
U+0449	щ	Csc	CYRILLIC SMALL LETTER SHCHA
U+042A	Ъ	C"	CYRILLIC CAPITAL LETTER HARD SIGN
U+044A	ъ	c"	CYRILLIC SMALL LETTER HARD SIGN
U+042B	Ы	cY	CYRILLIC CAPITAL LETTER YERU
U+044B	ы	cy	CYRILLIC SMALL LETTER YERU
U+042C	Ь	C'	CYRILLIC CAPITAL LETTER SOFT SIGN
U+044C	ь	c'	CYRILLIC SMALL LETTER SOFT SIGN
U+042D	Э	CYe	CYRILLIC CAPITAL LETTER E
U+044D	э	Cye	CYRILLIC SMALL LETTER E
U+042E	Ю	CYu	CYRILLIC CAPITAL LETTER YU
U+044E	ю	Cyu	CYRILLIC SMALL LETTER YU
U+042F	Я	CYa	CYRILLIC CAPITAL LETTER YA
U+044F	я	Cya	CYRILLIC SMALL LETTER YA
U+00A0	 	 !	NO-BREAK SPACE
U+00A1	¡	@!	INVERTED EXCLAMATION MARK
U+00A7	§	so	SECTION SIGN
U+00AB	«	<<	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
U+00B6	¶	P|	PILCROW SIGN
U+00B7	·	^.	MIDDLE DOT
U+00BB	»	>>	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
U+00BF	¿	@?	INVERTED QUESTION MARK
U+2010	‐	- 	HYPHEN
U+2011	‑	-!	NON-BREAKING HYPHEN
U+2012	‒	-0	FIGURE DASH
U+2013	–	-n	EN DASH
U+2014	—	-m	EM DASH
U+2018	‘	'6	LEFT SINGLE QUOTATION MARK
U+2019	’	'9	RIGHT SINGLE QUOTATION MARK
U+201A	‚	',	SINGLE LOW-9 QUOTATION MARK
U+201B	‛	'\	SINGLE HIGH-REVERSED-9 QUOTATION MARK
U+201C	“	"6	LEFT DOUBLE QUOTATION MARK
U+201D	”	"9	RIGHT DOUBLE QUOTATION MARK
U+201E	„	",	DOUBLE LOW-9 QUOTATION MARK
U+201F	‟	"\	DOUBLE HIGH-REVERSED-9 QUOTATION MARK
U+2020	†	|+	DAGGER
U+2021	‡	++	DOUBLE DAGGER
U+2022	•	*-	BULLET
U+2026	…	..	HORIZONTAL ELLIPSIS
U+2027	‧	.-	HYPHENATION POINT
U+2030	‰	%o	PER MILLE SIGN
U+2032	′	1'	PRIME
U+2033	″	2'	DOUBLE PRIME
U+2039	‹	< 	SINGLE LEFT-POINTING ANGLE QUOTATION MARK
U+203A	›	> 	SINGLE RIGHT-POINTING ANGLE QUOTATION MARK
U+00AC	¬	-,	NOT SIGN
U+00B1	±	+-	PLUS-MINUS SIGN
U+00D7	×	x 	MULTIPLICATION SIGN
U+00F7	÷	:-	DIVISION SIGN
U+2044	⁄	/ 	FRACTION SLASH
U+2190	←	-<	LEFTWARDS ARROW
U+2191	↑	|^	UPWARDS ARROW
U+2192	→	->	RIGHTWARDS ARROW
U+2193	↓	|v	DOWNWARDS ARROW
U+2194	↔	<->	LEFT RIGHT ARROW
U+21A6	↦	|>	RIGHTWARDS ARROW FROM BAR
U+2200	∀	@A	FOR ALL
U+2202	∂	pd	PARTIAL DIFFERENTIAL
U+2203	∃	@E	THERE EXISTS
U+2204	∄	/@E	THERE DOES NOT EXIST
U+2205	∅	{}	EMPTY SET
U+2206	∆	De	INCREMENT
U+2207	∇	@De	NABLA
U+2208	∈	(-	ELEMENT OF
U+2209	∉	/(-	NOT AN ELEMENT OF
U+220E	∎	QED	END OF PROOF
U+220F	∏	n*	N-ARY PRODUCT
U+2211	∑	n+	N-ARY SUMMATION
U+2212	−	- 	MINUS SIGN
U+2213	∓	-+	MINUS-OR-PLUS SIGN
U+2215	∕	//	DIVISION SLASH
U+2216	∖	\ 	SET MINUS
U+221A	√	r2	SQUARE ROOT
U+221B	∛	r3	CUBE ROOT
U+221E	∞	oo	INFINITY
U+2223	∣	| 	DIVIDES
U+2224	∤	/|	DOES NOT DIVIDE
U+2225	∥	2|	PARALLEL TO
U+2226	∦	/2|	NOT PARALLEL TO
U+2227	∧	/\	LOGICAL AND
U+2228	∨	\/	LOGICAL OR
U+2229	∩	@u	INTERSECTION
U+222A	∪	u 	UNION
U+222B	∫	1s	INTEGRAL
U+222C	∬	2s	DOUBLE INTEGRAL
U+222D	∭	3s	TRIPLE INTEGRAL
U+222E	∮	o1s	CONTOUR INTEGRAL
U+222F	∯	o2s	SURFACE INTEGRAL
U+2230	∰	o3s	VOLUME INTEGRAL
U+2231	∱	>s	CLOCKWISE INTEGRAL
U+2232	∲	o>s	CLOCKWISE CONTOUR INTEGRAL
U+2233	∳	o<s	ANTICLOCKWISE CONTOUR INTEGRAL
U+2234	∴	:.	THEREFORE
U+2235	∵	.:	BECAUSE
